cohort,urm,freshman_transfer,cohort_major_desc,deg_major_desc,headcount
2010-11,Non-URM,Freshman,APPLIED MATHEMATICS                                                                                                     ,APPLIED MATHEMATICS                                                                                                     ,17
2010-11,Non-URM,Freshman,APPLIED MATHEMATICS                                                                                                     ,ART HISTORY                                                                                                             ,1
2010-11,Non-URM,Freshman,APPLIED MATHEMATICS                                                                                                     ,BUSINESS ECONOMICS                                                                                                      ,2
2010-11,Non-URM,Freshman,APPLIED MATHEMATICS                                                                                                     ,CHEMICAL ENGINEERING                                                                                                    ,1
2010-11,Non-URM,Freshman,APPLIED MATHEMATICS                                                                                                     ,ECONOMICS                                                                                                               ,2
2010-11,Non-URM,Freshman,APPLIED MATHEMATICS                                                                                                     ,EUROPEAN LANGUAGES AND TRANSCULTURAL STUDIES WITH FRENCH AND FRANCOPHONE                                                ,1
2010-11,Non-URM,Freshman,APPLIED MATHEMATICS                                                                                                     ,GEOPHYSICS/GEOPHYSICS AND SPACE PHYSICS                                                                                 ,1
2010-11,Non-URM,Freshman,APPLIED MATHEMATICS                                                                                                     ,INTERNATIONAL DEVELOPMENT STUDIES                                                                                       ,1
2010-11,Non-URM,Freshman,APPLIED MATHEMATICS                                                                                                     ,LINGUISTICS                                                                                                             ,1
2010-11,Non-URM,Freshman,APPLIED MATHEMATICS                                                                                                     ,MATHEMATICS OF COMPUTATION                                                                                              ,2
2010-11,Non-URM,Freshman,APPLIED MATHEMATICS                                                                                                     ,MATHEMATICS/APPLIED SCIENCE                                                                                             ,1
2010-11,Non-URM,Freshman,APPLIED MATHEMATICS                                                                                                     ,MATHEMATICS/ECONOMICS                                                                                                   ,3
2010-11,Non-URM,Freshman,APPLIED MATHEMATICS                                                                                                     ,POLITICAL SCIENCE                                                                                                       ,1
2010-11,Non-URM,Freshman,APPLIED MATHEMATICS                                                                                                     ,PSYCHOLOGY                                                                                                              ,1
2010-11,Non-URM,Freshman,APPLIED MATHEMATICS                                                                                                     ,STATISTICS AND DATA SCIENCE                                                                                             ,1
2010-11,Non-URM,Freshman,ASTROPHYSICS                                                                                                            ,APPLIED MATHEMATICS                                                                                                     ,1
2010-11,Non-URM,Freshman,ASTROPHYSICS                                                                                                            ,ASTROPHYSICS                                                                                                            ,3
2010-11,Non-URM,Freshman,ASTROPHYSICS                                                                                                            ,BIOPHYSICS                                                                                                              ,1
2010-11,Non-URM,Freshman,ASTROPHYSICS                                                                                                            ,ECONOMICS                                                                                                               ,1
2010-11,Non-URM,Freshman,ASTROPHYSICS                                                                                                            ,MATHEMATICS/ECONOMICS                                                                                                   ,1
2010-11,Non-URM,Freshman,ASTROPHYSICS                                                                                                            ,MUSIC HISTORY                                                                                                           ,1
2010-11,Non-URM,Freshman,ASTROPHYSICS                                                                                                            ,No Degree,2
2010-11,Non-URM,Freshman,ATMOSPHERIC AND OCEANIC SCIENCES                                                                                        ,No Degree,1
2010-11,Non-URM,Freshman,ATMOSPHERIC AND OCEANIC SCIENCES/MATHEMATICS                                                                            ,APPLIED MATHEMATICS                                                                                                     ,1
2010-11,Non-URM,Freshman,BIOCHEMISTRY                                                                                                            ,ANTHROPOLOGY                                                                                                            ,4
2010-11,Non-URM,Freshman,BIOCHEMISTRY                                                                                                            ,ANTHROPOLOGY-BS                                                                                                         ,4
2010-11,Non-URM,Freshman,BIOCHEMISTRY                                                                                                            ,ART HISTORY                                                                                                             ,1
2010-11,Non-URM,Freshman,BIOCHEMISTRY                                                                                                            ,ASIAN AMERICAN STUDIES                                                                                                  ,2
2010-11,Non-URM,Freshman,BIOCHEMISTRY                                                                                                            ,ATMOSPHERIC AND OCEANIC SCIENCES                                                                                        ,3
2010-11,Non-URM,Freshman,BIOCHEMISTRY                                                                                                            ,BIOCHEMISTRY                                                                                                            ,71
2010-11,Non-URM,Freshman,BIOCHEMISTRY                                                                                                            ,BIOENGINEERING                                                                                                          ,1
2010-11,Non-URM,Freshman,BIOCHEMISTRY                                                                                                            ,BIOLOGY                                                                                                                 ,20
2010-11,Non-URM,Freshman,BIOCHEMISTRY                                                                                                            ,BIOPHYSICS                                                                                                              ,1
2010-11,Non-URM,Freshman,BIOCHEMISTRY                                                                                                            ,BUSINESS ECONOMICS                                                                                                      ,2
2010-11,Non-URM,Freshman,BIOCHEMISTRY                                                                                                            ,CHEMICAL ENGINEERING                                                                                                    ,5
2010-11,Non-URM,Freshman,BIOCHEMISTRY                                                                                                            ,CHEMISTRY                                                                                                               ,1
2010-11,Non-URM,Freshman,BIOCHEMISTRY                                                                                                            ,COMPUTATIONAL AND SYSTEMS BIOLOGY                                                                                       ,1
2010-11,Non-URM,Freshman,BIOCHEMISTRY                                                                                                            ,COMPUTER SCIENCE                                                                                                        ,1
2010-11,Non-URM,Freshman,BIOCHEMISTRY                                                                                                            ,"ECOLOGY, BEHAVIOR, AND EVOLUTION                                                                                        ",1
2010-11,Non-URM,Freshman,BIOCHEMISTRY                                                                                                            ,ECONOMICS                                                                                                               ,5
2010-11,Non-URM,Freshman,BIOCHEMISTRY                                                                                                            ,ELECTRICAL ENGINEERING                                                                                                  ,2
2010-11,Non-URM,Freshman,BIOCHEMISTRY                                                                                                            ,ENGLISH                                                                                                                 ,1
2010-11,Non-URM,Freshman,BIOCHEMISTRY                                                                                                            ,GENDER STUDIES                                                                                                          ,1
2010-11,Non-URM,Freshman,BIOCHEMISTRY                                                                                                            ,GEOGRAPHY/ENVIRONMENTAL STUDIES                                                                                         ,1
2010-11,Non-URM,Freshman,BIOCHEMISTRY                                                                                                            ,HISTORY                                                                                                                 ,1
2010-11,Non-URM,Freshman,BIOCHEMISTRY                                                                                                            ,HUMAN BIOLOGY AND SOCIETY - BS                                                                                          ,3
2010-11,Non-URM,Freshman,BIOCHEMISTRY                                                                                                            ,INTERNATIONAL DEVELOPMENT STUDIES                                                                                       ,1
2010-11,Non-URM,Freshman,BIOCHEMISTRY                                                                                                            ,KOREAN                                                                                                                  ,1
2010-11,Non-URM,Freshman,BIOCHEMISTRY                                                                                                            ,"MICROBIOLOGY, IMMUNOLOGY, AND MOLECULAR GENETICS                                                                        ",17
